Instrument,Best PnL,Best Params,Mean Sharpe Ratio (Backtest),Maximum Drawdown (Backtest),Total Return (Backtest),Forward PnL,Mean Sharpe Ratio (Forward),Maximum Drawdown (Forward),Total Return (Forward)
USDCAD,669.7726900000016,"{'position_size': 0.15, 'stop_loss': 0.02, 'profit_target': 0.02}",0.4237319628728349,-0.005810228754912106,0.0669772689999999,-73.93644430700078,-0.2119004616882642,-0.008168298931798157,-0.00739364443070023
UKGILT.TRGBP,255.49099999999817,"{'position_size': 0.15, 'stop_loss': 0.02, 'profit_target': 0.02}",0.1353360356706338,-0.00853778361072588,0.025549099999999658,N/A,N/A,N/A,N/A
AUDUSD,1508.4307400000034,"{'position_size': 0.15, 'stop_loss': 0.01, 'profit_target': 0.02}",0.6283266178660335,-0.006922025638296914,0.15084307399999974,-72.15603774799638,-0.10908080142293242,-0.008628251415620736,-0.007215603774800017
BRENT.CMDUSD,3602.3750000000073,"{'position_size': 0.15, 'stop_loss': 0.03, 'profit_target': 0.05}",0.39431748678523226,-0.026502454745926718,0.36023750000000043,70.34975438000038,0.028281940928602995,-0.01807793072091779,0.007034975437998359
DOLLAR.IDXUSD,485.29500000000917,"{'position_size': 0.15, 'stop_loss': 0.03, 'profit_target': 0.03}",0.34411574172604953,-0.0046176504328538925,0.04852949999999945,30.07203639999898,0.06994109707582162,-0.004361846115675583,0.003007203640000178
XAUUSD,0.0,"{'position_size': 0.05, 'stop_loss': 0.01, 'profit_target': 0.02}",0.0,0.0,0.0,N/A,N/A,N/A,N/A
DIESEL.CMDUSD,1446.7619999999988,"{'position_size': 0.15, 'stop_loss': 0.02, 'profit_target': 0.02}",0.16782755551957915,-0.054849334436741115,0.14467619999999926,-70.41793640500146,-0.03240654831522775,-0.02064539360444917,-0.007041793640499616
COCOA.CMDUSD,0.0,"{'position_size': 0.05, 'stop_loss': 0.01, 'profit_target': 0.02}",0.0,0.0,0.0,0.0,0,0.0,0.0
BTCUSD,0.0,"{'position_size': 0.05, 'stop_loss': 0.01, 'profit_target': 0.02}",0.0,0.0,0.0,0.0,0,0.0,0.0
NZDUSD,1638.9397400000053,"{'position_size': 0.15, 'stop_loss': 0.01, 'profit_target': 0.03}",0.6009393053151766,-0.005763549111021504,0.16389397399999983,51.355219807997855,0.07585006958060089,-0.005155573292124016,0.0051355219808000285
SUGAR.CMDUSD,2776.105000000003,"{'position_size': 0.15, 'stop_loss': 0.02, 'profit_target': 0.03}",0.27957559814878824,-0.037058883912541196,0.2776105000000004,119.85994831000062,0.06850414916529791,-0.01570890910598266,0.011985994830999491
USA500.IDXUSD,0.0,"{'position_size': 0.05, 'stop_loss': 0.01, 'profit_target': 0.02}",0.0,0.0,0.0,0.0,0,0.0,0.0
USSC2000.IDXUSD,0.0,"{'position_size': 0.05, 'stop_loss': 0.01, 'profit_target': 0.02}",0.0,0.0,0.0,0.0,0,0.0,0.0
SOYBEAN.CMDUSX,1895.0519999999942,"{'position_size': 0.15, 'stop_loss': 0.03, 'profit_target': 0.05}",0.22028653334973222,-0.036887571764610216,0.18950519999999949,2.5,-0.01605180921979499,-0.008910178451762896,0.0002500000000007496
USDJPY,383.53299999999945,"{'position_size': 0.15, 'stop_loss': 0.01, 'profit_target': 0.02}",0.08620847791255522,-0.017440176252631945,0.03835330000000137,92.20898569999554,0.12922600676091126,-0.0089190524140641,0.009220898570000413
EURUSD,29.330039999998917,"{'position_size': 0.15, 'stop_loss': 0.01, 'profit_target': 0.03}",0.022337944889228994,-0.004725460877068821,0.0029330039999997393,22.97882560400103,0.04739493406173552,-0.0035304921068559647,0.0022978825603992004
ETHUSD,0.0,"{'position_size': 0.05, 'stop_loss': 0.01, 'profit_target': 0.02}",0.0,0.0,0.0,0.0,0,0.0,0.0
